Team,Goals,Assists,PK converted,PK attempted,Shots,Shots on Target,YCrds,Rcards,Touches,Tackles,Interceptions,BlockedShots,XG,npXG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,AttTakes,ScsflTakes,Results
Bayern Munich,0,0,0,0,9,0,1,0,694,16,20,17,0.4,0.4,0.4,14,0,455,565,80.5,20,345,17,9,4,D
,0,0,0,0,7,2,2,0,731,17,16,9,0.3,0.3,0.1,11,0,493,612,80.6,45,457,23,21,9,L
Liverpool,0,0,0,0,15,2,1,0,647,17,10,8,2.1,2.1,1.1,25,0,424,553,76.7,43,390,21,16,13,D
,3,3,0,0,10,6,3,0,560,19,17,7,1.1,1.1,1.0,17,6,326,452,72.1,39,269,15,22,14,W
Real Madrid,2,2,0,0,13,8,3,0,688,20,24,7,1.5,1.5,1.4,20,4,458,556,82.4,28,364,26,18,7,W
,1,1,0,0,20,8,3,1,687,19,14,11,2.5,2.5,2.4,37,2,445,569,78.2,55,390,30,28,12,L
Ajax,1,1,0,0,19,7,1,0,686,27,17,14,2.2,2.2,2.0,37,2,450,557,80.8,52,400,22,22,15,L
,4,3,0,0,16,8,1,0,567,21,9,18,2.6,2.6,2.5,25,8,331,435,76.1,39,239,18,21,13,W
Dortmund,0,0,0,0,6,5,1,0,665,16,6,9,0.3,0.3,0.2,11,0,482,565,85.3,36,481,18,21,10,L
,0,0,0,0,19,7,0,0,931,22,8,14,1.5,1.5,1.3,35,0,718,821,87.5,68,638,23,26,17,L
Tottenham Hotspur,3,3,0,0,15,5,1,0,736,19,17,9,1.8,1.8,1.6,28,6,553,636,86.9,47,517,11,15,10,W
,1,1,0,0,5,1,0,0,595,17,17,13,1.0,1.0,1.0,8,2,373,460,81.1,30,354,13,15,5,W
Manchester City,3,2,0,0,21,6,4,1,775,14,14,10,1.6,1.6,1.3,37,6,585,670,87.3,45,546,27,22,16,W
,7,6,1,1,14,10,2,0,897,11,16,11,3.7,3.0,3.0,30,14,743,811,91.6,68,717,28,18,9,W
Schalke 04,2,0,2,2,5,0,3,0,437,22,12,14,1.8,0.2,0.2,12,3,251,342,73.4,22,218,15,13,9,L
,0,0,0,0,2,1,1,0,399,17,14,7,0.1,0.1,0.0,3,0,228,320,71.3,16,215,11,10,6,L
Porto,1,1,0,0,7,2,1,0,645,21,9,10,0.6,0.6,0.6,12,1,418,528,79.2,39,411,21,16,11,L
,3,2,1,1,30,8,4,0,845,28,11,20,4.3,3.5,3.2,54,6,522,668,78.1,58,410,30,28,15,W
Roma,2,2,0,0,14,9,1,0,513,16,10,10,1.5,1.5,1.1,24,3,297,411,72.3,38,292,15,16,10,W
,1,0,1,1,14,0,5,0,617,22,11,11,2.0,1.2,0.7,27,2,312,461,67.7,33,303,21,19,8,L
Barcelona,0,0,0,0,25,5,2,0,822,24,11,8,2.1,2.1,1.6,43,0,627,725,86.5,68,497,34,18,12,D
,5,3,1,1,18,8,1,0,704,18,9,10,4.3,3.5,3.3,33,9,529,612,86.4,39,425,20,16,9,W
Lyon,0,0,0,0,5,2,2,0,553,11,15,20,0.3,0.3,0.3,10,0,350,435,80.5,24,306,12,23,12,D
,1,0,0,0,11,2,2,0,596,16,16,10,0.6,0.6,0.4,19,1,419,493,85.0,35,371,16,15,11,L
Juventus,0,0,0,0,14,2,1,0,686,6,10,12,0.7,0.7,0.6,27,0,500,585,85.5,33,350,17,18,13,L
,3,2,1,1,15,3,1,0,724,16,8,8,2.5,1.7,1.3,30,6,485,600,80.8,77,374,31,34,16,W
Atletico Madrid,2,0,0,0,13,5,3,0,440,13,14,5,1.5,1.5,1.0,21,2,249,351,70.9,26,187,22,9,7,W
,0,0,0,0,5,0,3,0,507,26,12,13,0.4,0.4,0.4,10,0,266,375,70.9,16,232,15,14,9,L
Paris Saint-Germain,2,2,0,0,12,5,4,0,691,14,12,13,2.5,2.5,2.4,22,4,513,597,85.9,28,377,18,10,7,W
,1,1,0,0,12,4,3,0,899,17,6,5,1.4,1.4,1.3,23,2,714,808,88.4,63,576,33,13,7,L
Manchester United,0,0,0,0,10,1,6,1,585,18,10,10,0.4,0.4,0.3,20,0,408,498,81.9,41,320,24,13,9,L
,3,1,1,1,4,3,1,0,427,17,11,9,2.1,1.3,0.1,8,4,246,327,75.2,14,199,6,14,11,W
